Company_name,Descrption,Sale Price (₹),Total Price (₹),Discount,Rating,Reviews & Ratings
TOKYO TALKIES,Women Ribbed Yellow Dress,470.0,1049.0,55% off,4.1,"1,479 ratings and 113 reviews"
DRESSAR,Women Fit and Flare Multicolor Dress,429.0,1999.0,78% off,4,"5,008 ratings and 277 reviews"
ONE SKY,Women Wrap Yellow Dress,1749.0,2499.0,30% off,,
SHEETAL ASSOCIATES,Women Fit and Flare Black Dress,439.0,1999.0,78% off,4,"2,637 ratings and 136 reviews"
KOTTY,"Women Fit and Flare Dark Blue, White Dress",490.0,1999.0,75% off,4.1,10 ratings and 0 reviews
TRY ME,Women Gown Black Dress,699.0,1999.0,65% off,,
HARPA,"Women A-line Green, Pink, Yellow Dress",599.0,2099.0,71% off,3.5,4 ratings and 1 reviews
LONDON BELLY,Women Bodycon Black Dress,425.0,1299.0,67% off,4,"3,514 ratings and 198 reviews"
HARPA,"Women A-line Maroon, Beige Dress",599.0,2499.0,76% off,3.8,21 ratings and 1 reviews
HONKY TONKY,Women Fit and Flare Blue Dress,449.0,1999.0,77% off,4,"3,449 ratings and 213 reviews"
KOTTY,Women Two Piece Dress Black Dress,999.0,3999.0,75% off,2.7,3 ratings and 1 reviews
AAYU,Women Fit and Flare Pink Dress,699.0,1999.0,65% off,4,"14,249 ratings and 829 reviews"
AASK,Women Fit and Flare Purple Dress,629.0,1999.0,68% off,3.3,12 ratings and 0 reviews
ZWERLON,Women A-line Black Dress,449.0,1999.0,77% off,4.1,"58,405 ratings and 3,963 reviews"
KG FASHION,Women Fit and Flare White Dress,699.0,999.0,30% off,,
HONKY TONKY,"Women Fit and Flare Green, White, Yellow Dress",474.0,1999.0,76% off,4.1,"1,214 ratings and 57 reviews"
TANDUL,Women Two Piece Dress Multicolor Dress,489.0,1499.0,67% off,,
HARPA,Women Sheath Green Dress,802.0,1999.0,59% off,4.3,441 ratings and 34 reviews
MISS AYSE,Women Fit and Flare Grey Dress,499.0,1999.0,75% off,4.1,"13,588 ratings and 956 reviews"
ZWERLON,Women A-line Multicolor Dress,449.0,1999.0,77% off,4.1,"58,405 ratings and 3,963 reviews"
HARPA,Women Maxi Multicolor Dress,609.0,1499.0,59% off,3.8,"2,396 ratings and 320 reviews"
